city_name,PC1,PC2,lat,lon
Los Angeles,-1.2765276608923237,-0.2341102361978894,34.114,-118.407
San Francisco,1.1360610618359497,-0.4691705724769606,37.756,-122.443
San Diego,-2.081561649579978,-0.19617369940872798,32.831,-117.122
Riverside,-1.6610824398237427,0.04521527419562532,33.938,-117.395
Sacramento,1.058702911844641,0.09307926378845616,38.567,-121.468
San Jose,0.8055047884282349,-0.41005798041134867,37.302,-121.849
Fresno,-0.02369700959399451,0.10883705413830219,36.783,-119.794
Concord,1.0559837614069894,-0.2599482606605678,37.972,-122.002
Mission Viejo,-1.6738559206725614,-0.138120336321658,33.61,-117.655
Bakersfield,-0.6998180174305761,-0.0700297448956147,35.353,-119.036
Murrieta,-1.8374097988456342,0.0027135861443684517,33.572,-117.191
Long Beach,-1.4493878239763296,-0.2501844416251239,33.798,-118.168
Oakland,1.0717683228648023,-0.3845494520837182,37.79,-122.216
Indio,-2.1022533881032857,0.36501382751383005,33.735,-116.235
Stockton,0.8305287185477253,-0.032101643516352585,37.976,-121.311
Oxnard,-0.9978108504464487,-0.4637997738022389,34.196,-119.182
Modesto,0.6281604968038519,-0.03241934242219796,37.637,-121.003
Anaheim,-1.5391402794715119,-0.1359183497091807,33.839,-117.857
Victorville,-1.4981520042246672,0.235042045627033,34.528,-117.354
Lancaster,-1.1792354753930445,0.015375849620939186,34.694,-118.175
Santa Ana,-1.561432749216746,-0.17461102423023211,33.737,-117.882
Santa Rosa,1.4289274251293915,-0.3494903716161074,38.446,-122.707
Santa Clarita,-1.1564554735631825,-0.17242277787064364,34.418,-118.496
Antioch,0.9905075452299739,-0.19028678948488675,37.979,-121.796
Irvine,-1.6147939986696485,-0.1571233890516175,33.677,-117.774
Chula Vista,-2.177672289376406,-0.22143545457363856,32.628,-117.014
Fremont,0.917077425397116,-0.38770245742289067,37.526,-121.985
Visalia,-0.3128957096567626,0.12599417928773085,36.328,-119.327
San Bernardino,-1.6328977051090805,0.13900082801353797,34.142,-117.295
Thousand Oaks,-1.0996748376025207,-0.3649252545023545,34.191,-118.876
Fontana,-1.5922296347017562,0.07142754690049802,34.097,-117.46
Moreno Valley,-1.7279164770660191,0.10367880144056629,33.924,-117.204
Santa Barbara,-0.751988992795075,-0.5709103229263712,34.428,-119.72
Glendale,-1.3086799347528286,-0.16130119949318966,34.182,-118.247
Huntington Beach,-1.5343290759651789,-0.22622833390256392,33.696,-118.002
Salinas,0.5507745733311052,-0.5224344180544175,36.688,-121.632
Ontario,-1.5616799503222856,0.006200035389216874,34.039,-117.606
Rancho Cucamonga,-1.5487626864841824,0.04470161867759026,34.125,-117.567
Hemet,-1.852613214105505,0.1147757599448126,33.734,-116.997
Santa Cruz,0.769953738439304,-0.567626553932328,36.979,-122.035
