city,lat,lon,population
Los Angeles,34.0522,-118.2437,12750807.0
San Francisco,37.7749,-122.4194,3592294.0
San Diego,32.7153,-117.1573,3220118.0
Riverside,33.9534,-117.3962,2107852.0
Sacramento,38.5816,-121.4944,1898019.0
San Jose,37.3394,-121.895,1798103.0
Fresno,36.7468,-119.7726,703498.0
Concord,37.978,-122.0311,652308.0
Mission Viejo,33.6,-117.672,590249.0
Bakersfield,35.3733,-119.0187,579295.0
Murrieta,33.5539,-117.2139,496046.0
Long Beach,33.7683,-118.1956,462628.0
Oakland,37.8044,-122.2711,433031.0
Indio,33.7206,-116.2156,417059.0
Stockton,37.9577,-121.2908,397264.0
Oxnard,34.1975,-119.1771,387647.0
Modesto,37.6391,-120.9969,383134.0
Anaheim,33.8353,-117.9145,350365.0
Victorville,34.5361,-117.2912,346789.0
Lancaster,34.6868,-118.1542,343304.0
Santa Ana,33.7456,-117.8678,332318.0
Santa Rosa,38.4405,-122.7144,324634.0
Santa Clarita,34.3917,-118.5426,312446.0
Antioch,38.0049,-121.8058,302419.0
Irvine,33.6839,-117.7947,287401.0
Chula Vista,32.6401,-117.0842,274492.0
Fremont,37.5483,-121.9886,241110.0
Visalia,36.3302,-119.2921,237386.0
San Bernardino,34.1083,-117.2898,215784.0
Thousand Oaks,34.1072,-118.0578,215029.0
Fontana,34.0922,-117.435,214547.0
Moreno Valley,33.9425,-117.2297,213055.0
Santa Barbara,34.4208,-119.6982,202401.0
Glendale,34.1425,-118.2551,199303.0
Huntington Beach,33.6603,-117.9992,199223.0
Salinas,36.6777,-121.6555,190972.0
Ontario,34.0633,-117.6509,185010.0
Rancho Cucamonga,34.1064,-117.5931,177603.0
Hemet,33.7475,-116.972,177253.0
Santa Cruz,36.9741,-122.0308,176428.0
Oceanside,33.1959,-117.3795,175742.0
Elk Grove,38.4088,-121.3716,174775.0
Vallejo,38.1041,-122.2566,173256.0
Garden Grove,33.7739,-117.9414,171644.0
Corona,33.8753,-117.5664,169868.0
Hayward,37.6688,-122.0808,159203.0
Palmdale,34.5794,-118.1165,155079.0
Sunnyvale,37.3688,-122.0364,152703.0
Pomona,34.0552,-117.7523,151691.0
Escondido,33.1192,-117.0864,151625.0
Fairfield,38.2494,-122.04,148683.0
Merced,37.3022,-120.483,145149.0
Torrance,33.8358,-118.3406,143592.0
Roseville,38.7521,-121.288,141500.0
Pasadena,34.1478,-118.1445,141029.0
Santa Maria,34.953,-120.4357,140545.0
Orange,33.7878,-117.8531,138669.0
Fullerton,33.8703,-117.9253,138632.0
Santa Clara,37.3541,-121.9552,130365.0
Simi Valley,34.2694,-118.7815,126589.0
Berkeley,37.8716,-122.2727,121363.0
Redding,40.5865,-122.3917,121313.0
Yuba City,39.1404,-121.6169,120456.0
Gilroy,37.0058,-121.5683,118993.0
Chico,39.7285,-121.8375,117668.0
Seaside,33.8194,-118.3666,116720.0
El Monte,34.0686,-118.0276,115487.0
Carlsbad,33.1581,-117.3506,115382.0
Temecula,33.4936,-117.1484,114761.0
Clovis,36.8252,-119.7029,114584.0
Costa Mesa,33.6411,-117.9187,113003.0
El Centro,32.792,-115.563,111425.0
Downey,33.94,-118.1326,111126.0
Richmond,37.9358,-122.3478,110567.0
Jurupa Valley,33.9995,-117.4754,109527.0
Inglewood,33.9617,-118.3531,108151.0
Turlock,37.4947,-120.8466,107317.0
Daly City,37.6879,-122.4702,106280.0
West Covina,34.0686,-117.939,105101.0
San Mateo,37.563,-122.3255,104430.0
Norwalk,33.9022,-118.0817,103949.0
Rialto,34.1064,-117.3703,103526.0
Manteca,37.7974,-121.2161,103420.0
El Cajon,32.7948,-116.9625,102708.0
Burbank,34.1808,-118.309,102511.0
Vista,33.2,-117.2425,101638.0
Vacaville,38.3566,-121.9877,101444.0
Tracy,37.7396,-121.4252,100049.0
San Marcos,33.1434,-117.1661,96664.0
Hesperia,34.4264,-117.3009,95750.0
Compton,33.8959,-118.2201,95605.0
Menifee,33.6783,-117.1669,94756.0
Chino,34.0122,-117.6889,94371.0
Hanford,36.3274,-119.6457,94028.0
South Gate,33.9547,-118.212,93444.0
Carson,33.8314,-118.282,91394.0
Livermore,37.6819,-121.768,90923.0
Westminster,33.7513,-117.994,90643.0
Santa Monica,34.0195,-118.4912,90401.0
San Leandro,37.7249,-122.1561,88815.0
Citrus Heights,38.7071,-121.2811,87796.0
Hawthorne,33.9164,-118.3526,86068.0
Redwood City,37.4852,-122.2364,85925.0
Lake Forest,33.647,-117.6892,85531.0
Napa,38.2975,-122.2869,85239.0
Whittier,33.9792,-118.0328,85098.0
Newport Beach,33.6189,-117.9289,84534.0
Milpitas,37.4283,-121.9066,84196.0
Madera,36.9613,-120.0607,84086.0
Chino Hills,33.9898,-117.7326,83853.0
Alhambra,34.0953,-118.127,83750.0
Mountain View,37.3861,-122.0838,82739.0
Buena Park,33.8675,-117.9981,81788.0
Pleasanton,37.6624,-121.8747,81777.0
Folsom,38.678,-121.1761,81328.0
Tustin,33.7458,-117.8262,79348.0
Lakewood,33.8536,-118.134,79307.0
Perris,33.7825,-117.2286,79291.0
Alameda,37.7652,-122.2416,77624.0
Watsonville,36.9102,-121.7569,77352.0
Porterville,36.0652,-119.0168,77318.0
Upland,34.0975,-117.6484,77140.0
Davis,38.5449,-121.7405,76997.0
Camarillo,34.2164,-119.0376,76931.0
Bellflower,33.8817,-118.117,76435.0
San Ramon,37.7799,-121.978,75995.0
Baldwin Park,34.0853,-117.9609,75251.0
Rancho Cordova,38.5891,-121.3027,75087.0
Lodi,38.1341,-121.2722,74773.0
Union City,37.5934,-122.0438,74107.0
Pittsburg,38.028,-121.8847,72588.0
Redlands,34.0556,-117.1825,71513.0
Walnut Creek,37.9101,-122.0652,70166.0
Lynwood,33.9303,-118.2115,69887.0
Lake Elsinore,33.6681,-117.3273,69283.0
Rocklin,38.7907,-121.2358,68823.0
South San Francisco,37.6547,-122.4078,67789.0
Yorba Linda,33.8886,-117.8131,67644.0
Petaluma,38.2324,-122.6367,66929.0
Redondo Beach,33.8492,-118.3884,66749.0
Laguna Niguel,33.5225,-117.7076,66385.0
Tulare,36.2077,-119.3473,65496.0
Palo Alto,37.4419,-122.143,65364.0
Dublin,37.7022,-121.9358,64826.0
San Clemente,33.427,-117.612,64558.0
Brentwood,34.0574,-118.4805,64474.0
Eastvale,33.9631,-117.5639,64157.0
Encinitas,33.037,-117.292,62709.0
