city,lat,lon,population
Los Angeles,34.114,-118.407,12750807
San Francisco,37.756,-122.443,3592294
San Diego,32.831,-117.122,3220118
Riverside,33.938,-117.395,2107852
Sacramento,38.567,-121.468,1898019
San Jose,37.302,-121.849,1798103
Fresno,36.783,-119.794,703498
Concord,37.972,-122.002,652308
Mission Viejo,33.61,-117.655,590249
Bakersfield,35.353,-119.036,579295
Murrieta,33.572,-117.191,496046
Long Beach,33.798,-118.168,462628
Oakland,37.79,-122.216,433031
Indio,33.735,-116.235,417059
Stockton,37.976,-121.311,397264
Oxnard,34.196,-119.182,387647
Modesto,37.637,-121.003,383134
Anaheim,33.839,-117.857,350365
Victorville,34.528,-117.354,346789
Lancaster,34.694,-118.175,343304
Santa Ana,33.737,-117.882,332318
Santa Rosa,38.446,-122.707,324634
Santa Clarita,34.418,-118.496,312446
Antioch,37.979,-121.796,302419
Irvine,33.677,-117.774,287401
Chula Vista,32.628,-117.014,274492
Fremont,37.526,-121.985,241110
Visalia,36.328,-119.327,237386
San Bernardino,34.142,-117.295,215784
Thousand Oaks,34.191,-118.876,215029
Fontana,34.097,-117.46,214547
Moreno Valley,33.924,-117.204,213055
Santa Barbara,34.428,-119.72,202401
Glendale,34.182,-118.247,199303
Huntington Beach,33.696,-118.002,199223
Salinas,36.688,-121.632,190972
Ontario,34.039,-117.606,185010
Rancho Cucamonga,34.125,-117.567,177603
Hemet,33.734,-116.997,177253
Santa Cruz,36.979,-122.035,176428
Oceanside,33.225,-117.308,175742
Elk Grove,38.416,-121.384,174775
Vallejo,38.113,-122.236,173256
Garden Grove,33.779,-117.96,171644
Corona,33.862,-117.565,169868
Hayward,37.633,-122.077,159203
Palmdale,34.594,-118.106,155079
Sunnyvale,37.384,-122.026,152703
Pomona,34.058,-117.763,151691
Escondido,33.135,-117.072,151625
Fairfield,38.259,-122.032,148683
Merced,37.306,-120.478,145149
Torrance,33.835,-118.342,143592
Roseville,38.77,-121.32,141500
Pasadena,34.16,-118.139,141029
Santa Maria,34.933,-120.443,140545
Orange,33.804,-117.822,138669
Fullerton,33.884,-117.928,138632
Santa Clara,37.364,-121.968,130365
Simi Valley,34.266,-118.749,126589
Berkeley,37.872,-122.276,121363
Redding,40.57,-122.365,121313
East Los Angeles,34.033,-118.169,121187
Yuba City,39.136,-121.638,120456
Gilroy,37.005,-121.586,118993
Chico,39.758,-121.815,117668
Seaside,36.622,-121.819,116720
El Monte,34.074,-118.029,115487
Carlsbad,33.125,-117.284,115382
Temecula,33.493,-117.132,114761
Clovis,36.828,-119.683,114584
Costa Mesa,33.667,-117.914,113003
El Centro,32.787,-115.559,111425
Downey,33.938,-118.131,111126
Richmond,37.948,-122.339,110567
Jurupa Valley,34.001,-117.47,109527
San Buenaventura,34.274,-119.231,109106
Inglewood,33.957,-118.344,108151
Turlock,37.505,-120.859,107317
Daly City,37.686,-122.468,106280
West Covina,34.056,-117.911,105101
San Mateo,37.552,-122.312,104430
Norwalk,33.907,-118.083,103949
Rialto,34.117,-117.389,103526
Manteca,37.793,-121.226,103420
Arden-Arcade,38.603,-121.381,102864
El Cajon,32.802,-116.96,102708
Burbank,34.188,-118.324,102511
Vista,33.19,-117.239,101638
Vacaville,38.359,-121.968,101444
Tracy,37.727,-121.452,100049
San Marcos,33.135,-117.174,96664
Hesperia,34.398,-117.315,95750
Compton,33.893,-118.228,95605
Menifee,33.691,-117.185,94756
Chino,33.984,-117.665,94371
Hanford,36.327,-119.655,94028
South Gate,33.945,-118.193,93444
Carson,33.837,-118.256,91394
Livermore,37.686,-121.761,90923
Westminster,33.752,-117.994,90643
Santa Monica,34.023,-118.481,90401
San Leandro,37.707,-122.16,88815
Citrus Heights,38.695,-121.288,87796
Hawthorne,33.915,-118.348,86068
Redwood City,37.503,-122.225,85925
Lake Forest,33.661,-117.671,85531
Napa,38.298,-122.301,85239
Whittier,33.968,-118.019,85098
Newport Beach,33.615,-117.867,84534
Milpitas,37.434,-121.892,84196
Madera,36.963,-120.078,84086
Chino Hills,33.951,-117.725,83853
Alhambra,34.084,-118.136,83750
Mountain View,37.4,-122.08,82739
Buena Park,33.857,-118.005,81788
Pleasanton,37.666,-121.88,81777
Folsom,38.667,-121.142,81328
Tustin,33.731,-117.811,79348
Lakewood,33.847,-118.122,79307
Perris,33.79,-117.223,79291
Alameda,37.767,-122.267,77624
Watsonville,36.921,-121.771,77352
Porterville,36.064,-119.034,77318
Upland,34.118,-117.66,77140
Davis,38.555,-121.736,76997
Camarillo,34.223,-119.032,76931
Bellflower,33.888,-118.127,76435
San Ramon,37.762,-121.936,75995
Baldwin Park,34.083,-117.972,75251
Rancho Cordova,38.574,-121.252,75087
Lodi,38.122,-121.293,74773
Union City,37.603,-122.019,74107
Apple Valley,34.533,-117.21,73453
Pittsburg,38.018,-121.896,72588
Redlands,34.051,-117.171,71513
El Paso de Robles,35.639,-120.656,70248
Walnut Creek,37.902,-122.04,70166
Lynwood,33.924,-118.202,69887
Lake Elsinore,33.685,-117.334,69283
Rocklin,38.808,-121.249,68823
South San Francisco,37.654,-122.42,67789
Yorba Linda,33.889,-117.771,67644
Petaluma,38.242,-122.627,66929
Redondo Beach,33.857,-118.377,66749
Laguna Niguel,33.528,-117.705,66385
Florence-Graham,33.968,-118.245,65716
Tulare,36.2,-119.34,65496
Palo Alto,37.391,-122.147,65364
Dublin,37.716,-121.896,64826
San Clemente,33.45,-117.61,64558
Brentwood,37.936,-121.719,64474
Carmichael,38.634,-121.323,64454
Eastvale,33.962,-117.58,64157
Castro Valley,37.709,-122.063,63013
Encinitas,33.049,-117.261,62709
San Luis Obispo,35.267,-120.669,62290
Pico Rivera,33.99,-118.089,62027
Montebello,34.016,-118.111,61954
National City,32.665,-117.098,61394
Woodland,38.671,-121.75,60598
La Habra,33.928,-117.951,60513
South Whittier,33.934,-118.031,60357
Monterey Park,34.05,-118.133,59669
Gardena,33.894,-118.307,59329
Cupertino,37.317,-122.046,59276
La Mesa,32.77,-117.02,59249
San Rafael,37.99,-122.522,58440
Santee,32.855,-116.985,58081
Arcadia,34.134,-118.037,57939
Huntington Park,33.98,-118.217,57509
Diamond Bar,33.999,-117.816,55720
Novato,38.092,-122.558,55516
Highland,34.111,-117.165,55417
Fountain Valley,33.71,-117.951,55357
Hacienda Heights,33.997,-117.973,55188
Cathedral City,33.836,-116.464,55007
Delano,35.767,-119.264,54917
Colton,34.054,-117.325,54824
Arroyo Grande,35.124,-120.584,54177
Rosemead,34.069,-118.082,54058
Paramount,33.898,-118.165,53955
Yucaipa,34.034,-117.043,53921
West Sacramento,38.556,-121.55,53519
Palm Desert,33.738,-116.37,53275
Lompoc,34.662,-120.471,52020
Glendora,34.145,-117.847,51544
Placentia,33.881,-117.855,51233
Beaumont,33.908,-116.977,51063
Aliso Viejo,33.579,-117.729,50887
Rowland Heights,33.972,-117.891,50347
Azusa,34.139,-117.912,49974
Cerritos,33.868,-118.069,49859
Oroville,39.5,-121.563,49513
Poway,32.987,-117.02,49323
San Jacinto,33.797,-116.992,49215
Newark,37.52,-122.031,49149
Reedley,36.599,-119.447,49042
Cypress,33.817,-118.039,49006
Hollister,36.856,-121.398,48992
