,city,lat,lon,population
0,Los Angeles,34.114,-118.407,12750807
1,San Francisco,37.756,-122.443,3592294
2,San Diego,32.831,-117.122,3220118
3,Riverside,33.938,-117.395,2107852
4,Sacramento,38.567,-121.468,1898019
5,San Jose,37.302,-121.849,1798103
6,Fresno,36.783,-119.794,703498
7,Concord,37.972,-122.002,652308
8,Mission Viejo,33.61,-117.655,590249
9,Bakersfield,35.353,-119.036,579295
10,Murrieta,33.572,-117.191,496046
11,Long Beach,33.798,-118.168,462628
12,Oakland,37.79,-122.216,433031
13,Indio,33.735,-116.235,417059
14,Stockton,37.976,-121.311,397264
15,Oxnard,34.196,-119.182,387647
16,Modesto,37.637,-121.003,383134
17,Anaheim,33.839,-117.857,350365
18,Victorville,34.528,-117.354,346789
19,Lancaster,34.694,-118.175,343304
20,Santa Ana,33.737,-117.882,332318
21,Santa Rosa,38.446,-122.707,324634
22,Santa Clarita,34.418,-118.496,312446
23,Antioch,37.979,-121.796,302419
24,Irvine,33.677,-117.774,287401
25,Chula Vista,32.628,-117.014,274492
26,Fremont,37.526,-121.985,241110
27,Visalia,36.328,-119.327,237386
28,San Bernardino,34.142,-117.295,215784
29,Thousand Oaks,34.191,-118.876,215029
30,Fontana,34.097,-117.46,214547
31,Moreno Valley,33.924,-117.204,213055
32,Santa Barbara,34.428,-119.72,202401
33,Glendale,34.182,-118.247,199303
34,Huntington Beach,33.696,-118.002,199223
35,Salinas,36.688,-121.632,190972
36,Ontario,34.039,-117.606,185010
37,Rancho Cucamonga,34.125,-117.567,177603
38,Hemet,33.734,-116.997,177253
39,Santa Cruz,36.979,-122.035,176428
40,Oceanside,33.225,-117.308,175742
41,Elk Grove,38.416,-121.384,174775
42,Vallejo,38.113,-122.236,173256
43,Garden Grove,33.779,-117.96,171644
44,Corona,33.862,-117.565,169868
45,Hayward,37.633,-122.077,159203
46,Palmdale,34.594,-118.106,155079
47,Sunnyvale,37.384,-122.026,152703
48,Pomona,34.058,-117.763,151691
49,Escondido,33.135,-117.072,151625
50,Fairfield,38.259,-122.032,148683
51,Merced,37.306,-120.478,145149
52,Torrance,33.835,-118.342,143592
53,Roseville,38.77,-121.32,141500
54,Pasadena,34.16,-118.139,141029
55,Santa Maria,34.933,-120.443,140545
56,Orange,33.804,-117.822,138669
57,Fullerton,33.884,-117.928,138632
58,Santa Clara,37.364,-121.968,130365
59,Simi Valley,34.266,-118.749,126589
60,Berkeley,37.872,-122.276,121363
61,Redding,40.57,-122.365,121313
62,East Los Angeles,34.033,-118.169,121187
63,Yuba City,39.136,-121.638,120456
64,Gilroy,37.005,-121.586,118993
65,Chico,39.758,-121.815,117668
66,Seaside,36.622,-121.819,116720
67,El Monte,34.074,-118.029,115487
68,Carlsbad,33.125,-117.284,115382
69,Temecula,33.493,-117.132,114761
70,Clovis,36.828,-119.683,114584
71,Costa Mesa,33.667,-117.914,113003
72,El Centro,32.787,-115.559,111425
73,Downey,33.938,-118.131,111126
74,Richmond,37.948,-122.339,110567
75,Jurupa Valley,34.001,-117.47,109527
76,San Buenaventura,34.274,-119.231,109106
77,Inglewood,33.957,-118.344,108151
78,Turlock,37.505,-120.859,107317
79,Daly City,37.686,-122.468,106280
80,West Covina,34.056,-117.911,105101
81,San Mateo,37.552,-122.312,104430
82,Norwalk,33.907,-118.083,103949
83,Rialto,34.117,-117.389,103526
84,Manteca,37.793,-121.226,103420
85,Arden-Arcade,38.603,-121.381,102864
86,El Cajon,32.802,-116.96,102708
87,Burbank,34.188,-118.324,102511
88,Vista,33.19,-117.239,101638
89,Vacaville,38.359,-121.968,101444
90,Tracy,37.727,-121.452,100049
91,San Marcos,33.135,-117.174,96664
92,Hesperia,34.398,-117.315,95750
93,Compton,33.893,-118.228,95605
94,Menifee,33.691,-117.185,94756
95,Chino,33.984,-117.665,94371
96,Hanford,36.327,-119.655,94028
97,South Gate,33.945,-118.193,93444
98,Carson,33.837,-118.256,91394
99,Livermore,37.686,-121.761,90923
100,Westminster,33.752,-117.994,90643
101,Santa Monica,34.023,-118.481,90401
102,San Leandro,37.707,-122.16,88815
103,Citrus Heights,38.695,-121.288,87796
104,Hawthorne,33.915,-118.348,86068
105,Redwood City,37.503,-122.225,85925
106,Lake Forest,33.661,-117.671,85531
107,Napa,38.298,-122.301,85239
108,Whittier,33.968,-118.019,85098
109,Newport Beach,33.615,-117.867,84534
110,Milpitas,37.434,-121.892,84196
111,Madera,36.963,-120.078,84086
112,Chino Hills,33.951,-117.725,83853
113,Alhambra,34.084,-118.136,83750
114,Mountain View,37.4,-122.08,82739
115,Buena Park,33.857,-118.005,81788
116,Pleasanton,37.666,-121.88,81777
117,Folsom,38.667,-121.142,81328
118,Tustin,33.731,-117.811,79348
119,Lakewood,33.847,-118.122,79307
120,Perris,33.79,-117.223,79291
121,Alameda,37.767,-122.267,77624
122,Watsonville,36.921,-121.771,77352
123,Porterville,36.064,-119.034,77318
124,Upland,34.118,-117.66,77140
125,Davis,38.555,-121.736,76997
126,Camarillo,34.223,-119.032,76931
127,Bellflower,33.888,-118.127,76435
128,San Ramon,37.762,-121.936,75995
129,Baldwin Park,34.083,-117.972,75251
130,Rancho Cordova,38.574,-121.252,75087
131,Lodi,38.122,-121.293,74773
132,Union City,37.603,-122.019,74107
133,Apple Valley,34.533,-117.21,73453
134,Pittsburg,38.018,-121.896,72588
135,Redlands,34.051,-117.171,71513
136,El Paso de Robles,35.639,-120.656,70248
137,Walnut Creek,37.902,-122.04,70166
138,Lynwood,33.924,-118.202,69887
139,Lake Elsinore,33.685,-117.334,69283
140,Rocklin,38.808,-121.249,68823
141,South San Francisco,37.654,-122.42,67789
142,Yorba Linda,33.889,-117.771,67644
143,Petaluma,38.242,-122.627,66929
144,Redondo Beach,33.857,-118.377,66749
145,Laguna Niguel,33.528,-117.705,66385
146,Florence-Graham,33.968,-118.245,65716
147,Tulare,36.2,-119.34,65496
148,Palo Alto,37.391,-122.147,65364
149,Dublin,37.716,-121.896,64826
150,San Clemente,33.45,-117.61,64558
151,Brentwood,37.936,-121.719,64474
152,Carmichael,38.634,-121.323,64454
153,Eastvale,33.962,-117.58,64157
154,Castro Valley,37.709,-122.063,63013
155,Encinitas,33.049,-117.261,62709
156,San Luis Obispo,35.267,-120.669,62290
157,Pico Rivera,33.99,-118.089,62027
158,Montebello,34.016,-118.111,61954
159,National City,32.665,-117.098,61394
160,Woodland,38.671,-121.75,60598
161,La Habra,33.928,-117.951,60513
162,South Whittier,33.934,-118.031,60357
163,Monterey Park,34.05,-118.133,59669
164,Gardena,33.894,-118.307,59329
165,Cupertino,37.317,-122.046,59276
166,La Mesa,32.77,-117.02,59249
167,San Rafael,37.99,-122.522,58440
168,Santee,32.855,-116.985,58081
169,Arcadia,34.134,-118.037,57939
170,Huntington Park,33.98,-118.217,57509
171,Diamond Bar,33.999,-117.816,55720
172,Novato,38.092,-122.558,55516
173,Highland,34.111,-117.165,55417
174,Fountain Valley,33.71,-117.951,55357
175,Hacienda Heights,33.997,-117.973,55188
176,Cathedral City,33.836,-116.464,55007
177,Delano,35.767,-119.264,54917
178,Colton,34.054,-117.325,54824
179,Arroyo Grande,35.124,-120.584,54177
180,Rosemead,34.069,-118.082,54058
