Latitude,Longitude,Start Datetime,End Datetime
33.95,-118.15,01/01/2006 00:00,12/31/2006 23:00
34.55,-117.75,01/01/2006 00:00,12/31/2006 23:00
33.85,-116.45,01/01/2006 00:00,12/31/2006 23:00
33.85,-118.25,01/01/2006 00:00,12/31/2006 23:00
34.25,-118.85,01/01/2006 00:00,12/31/2006 23:00
35.25,-117.95,01/01/2006 00:00,12/31/2006 23:00
37.75,-122.35,01/01/2006 00:00,12/31/2006 23:00
37.75,-122.15,01/01/2006 00:00,12/31/2006 23:00
38.55,-121.25,01/01/2006 00:00,12/31/2006 23:00
33.55,-115.15,01/01/2006 00:00,12/31/2006 23:00
34.95,-114.85,01/01/2006 00:00,12/31/2006 23:00
35.05,-118.05,01/01/2006 00:00,12/31/2006 23:00
33.25,-114.95,01/01/2006 00:00,12/31/2006 23:00
35.15,-117.85,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.95,01/01/2006 00:00,12/31/2006 23:00
33.15,-117.15,01/01/2006 00:00,12/31/2006 23:00
32.75,-116.95,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.35,01/01/2006 00:00,12/31/2006 23:00
37.05,-122.05,01/01/2006 00:00,12/31/2006 23:00
34.25,-118.65,01/01/2006 00:00,12/31/2006 23:00
33.75,-117.55,01/01/2006 00:00,12/31/2006 23:00
38.65,-121.35,01/01/2006 00:00,12/31/2006 23:00
32.75,-115.45,01/01/2006 00:00,12/31/2006 23:00
35.35,-118.95,01/01/2006 00:00,12/31/2006 23:00
33.85,-117.95,01/01/2006 00:00,12/31/2006 23:00
34.95,-118.25,01/01/2006 00:00,12/31/2006 23:00
34.15,-119.05,01/01/2006 00:00,12/31/2006 23:00
34.85,-118.15,01/01/2006 00:00,12/31/2006 23:00
35.05,-117.75,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.25,01/01/2006 00:00,12/31/2006 23:00
34.55,-118.05,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.65,01/01/2006 00:00,12/31/2006 23:00
33.75,-117.25,01/01/2006 00:00,12/31/2006 23:00
33.65,-117.15,01/01/2006 00:00,12/31/2006 23:00
34.05,-116.35,01/01/2006 00:00,12/31/2006 23:00
37.95,-122.35,01/01/2006 00:00,12/31/2006 23:00
33.65,-117.05,01/01/2006 00:00,12/31/2006 23:00
35.35,-119.05,01/01/2006 00:00,12/31/2006 23:00
34.5,-118.05,01/01/2006 00:00,12/31/2006 23:00
35.85,-120.55,01/01/2006 00:00,12/31/2006 23:00
34.15,-115.05,01/01/2006 00:00,12/31/2006 23:00
32.75,-117.05,01/01/2006 00:00,12/31/2006 23:00
34.45,-117.85,01/01/2006 00:00,12/31/2006 23:00
34.15,-117.55,01/01/2006 00:00,12/31/2006 23:00
34.25,-119.15,01/01/2006 00:00,12/31/2006 23:00
33.55,-115.05,01/01/2006 00:00,12/31/2006 23:00
37.65,-122.45,01/01/2006 00:00,12/31/2006 23:00
36.75,-119.75,01/01/2006 00:00,12/31/2006 23:00
37.45,-122.25,01/01/2006 00:00,12/31/2006 23:00
34.65,-118.15,01/01/2006 00:00,12/31/2006 23:00
38.05,-122.35,01/01/2006 00:00,12/31/2006 23:00
35.05,-120.55,01/01/2006 00:00,12/31/2006 23:00
35.35,-117.85,01/01/2006 00:00,12/31/2006 23:00
33.95,-116.95,01/01/2006 00:00,12/31/2006 23:00
38.05,-121.95,01/01/2006 00:00,12/31/2006 23:00
34.55,-117.55,01/01/2006 00:00,12/31/2006 23:00
33.75,-117.85,01/01/2006 00:00,12/31/2006 23:00
34.95,-120.45,01/01/2006 00:00,12/31/2006 23:00
37.05,-121.55,01/01/2006 00:00,12/31/2006 23:00
37.85,-121.95,01/01/2006 00:00,12/31/2006 23:00
34.25,-118.05,01/01/2006 00:00,12/31/2006 23:00
34.45,-117.65,01/01/2006 00:00,12/31/2006 23:00
33.65,-116.25,01/01/2006 00:00,12/31/2006 23:00
35.65,-120.65,01/01/2006 00:00,12/31/2006 23:00
33.85,-117.65,01/01/2006 00:00,12/31/2006 23:00
35.15,-118.15,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.85,01/01/2006 00:00,12/31/2006 23:00
34.35,-115.05,01/01/2006 00:00,12/31/2006 23:00
33.65,-116.35,01/01/2006 00:00,12/31/2006 23:00
34.65,-117.45,01/01/2006 00:00,12/31/2006 23:00
36.25,-120.95,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.05,01/01/2006 00:00,12/31/2006 23:00
34.35,-118.25,01/01/2006 00:00,12/31/2006 23:00
34.05,-116.55,01/01/2006 00:00,12/31/2006 23:00
33.35,-116.25,01/01/2006 00:00,12/31/2006 23:00
33.75,-118.35,01/01/2006 00:00,12/31/2006 23:00
33.75,-116.15,01/01/2006 00:00,12/31/2006 23:00
32.65,-116.85,01/01/2006 00:00,12/31/2006 23:00
38.05,-121.65,01/01/2006 00:00,12/31/2006 23:00
34.65,-115.45,01/01/2006 00:00,12/31/2006 23:00
35.25,-117.55,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.45,01/01/2006 00:00,12/31/2006 23:00
33.55,-117.65,01/01/2006 00:00,12/31/2006 23:00
36.85,-121.65,01/01/2006 00:00,12/31/2006 23:00
32.85,-117.25,01/01/2006 00:00,12/31/2006 23:00
34.45,-114.65,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.45,01/01/2006 00:00,12/31/2006 23:00
32.95,-117.15,01/01/2006 00:00,12/31/2006 23:00
35.05,-114.95,01/01/2006 00:00,12/31/2006 23:00
36.25,-120.75,01/01/2006 00:00,12/31/2006 23:00
32.85,-116.75,01/01/2006 00:00,12/31/2006 23:00
34.15,-114.55,01/01/2006 00:00,12/31/2006 23:00
35.15,-114.95,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.05,01/01/2006 00:00,12/31/2006 23:00
34.55,-117.95,01/01/2006 00:00,12/31/2006 23:00
33.15,-117.25,01/01/2006 00:00,12/31/2006 23:00
32.85,-116.85,01/01/2006 00:00,12/31/2006 23:00
33.25,-116.45,01/01/2006 00:00,12/31/2006 23:00
33.65,-117.75,01/01/2006 00:00,12/31/2006 23:00
33.85,-117.35,01/01/2006 00:00,12/31/2006 23:00
36.35,-119.35,01/01/2006 00:00,12/31/2006 23:00
38.55,-121.15,01/01/2006 00:00,12/31/2006 23:00
34.15,-117.75,01/01/2006 00:00,12/31/2006 23:00
36.15,-119.05,01/01/2006 00:00,12/31/2006 23:00
37.45,-121.95,01/01/2006 00:00,12/31/2006 23:00
37.85,-122.35,01/01/2006 00:00,12/31/2006 23:00
34.45,-119.75,01/01/2006 00:00,12/31/2006 23:00
33.75,-116.45,01/01/2006 00:00,12/31/2006 23:00
33.75,-118.25,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.15,01/01/2006 00:00,12/31/2006 23:00
32.95,-115.35,01/01/2006 00:00,12/31/2006 23:00
38.05,-121.75,01/01/2006 00:00,12/31/2006 23:00
34.65,-117.55,01/01/2006 00:00,12/31/2006 23:00
34.55,-114.65,01/01/2006 00:00,12/31/2006 23:00
37.15,-121.75,01/01/2006 00:00,12/31/2006 23:00
34.05,-117.95,01/01/2006 00:00,12/31/2006 23:00
34.55,-117.45,01/01/2006 00:00,12/31/2006 23:00
37.95,-121.75,01/01/2006 00:00,12/31/2006 23:00
33.75,-117.95,01/01/2006 00:00,12/31/2006 23:00
33.55,-117.55,01/01/2006 00:00,12/31/2006 23:00
37.25,-121.75,01/01/2006 00:00,12/31/2006 23:00
34.45,-119.85,01/01/2006 00:00,12/31/2006 23:00
34.05,-118.35,01/01/2006 00:00,12/31/2006 23:00
34.45,-117.75,01/01/2006 00:00,12/31/2006 23:00
34.25,-118.45,01/01/2006 00:00,12/31/2006 23:00
38.05,-122.25,01/01/2006 00:00,12/31/2006 23:00
35.35,-117.95,01/01/2006 00:00,12/31/2006 23:00
34.15,-117.65,01/01/2006 00:00,12/31/2006 23:00
37.55,-121.95,01/01/2006 00:00,12/31/2006 23:00
36.95,-121.75,01/01/2006 00:00,12/31/2006 23:00
39.15,-121.65,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.15,01/01/2006 00:00,12/31/2006 23:00
34.55,-117.85,01/01/2006 00:00,12/31/2006 23:00
33.15,-117.35,01/01/2006 00:00,12/31/2006 23:00
38.75,-120.55,01/01/2006 00:00,12/31/2006 23:00
37.35,-121.85,01/01/2006 00:00,12/31/2006 23:00
33.65,-117.65,01/01/2006 00:00,12/31/2006 23:00
33.85,-117.25,01/01/2006 00:00,12/31/2006 23:00
38.25,-122.25,01/01/2006 00:00,12/31/2006 23:00
36.95,-121.85,01/01/2006 00:00,12/31/2006 23:00
33.55,-117.75,01/01/2006 00:00,12/31/2006 23:00
32.85,-116.85,01/01/2006 00:00,12/31/2006 23:00
33.25,-117.25,01/01/2006 00:00,12/31/2006 23:00
34.65,-117.95,01/01/2006 00:00,12/31/2006 23:00
33.95,-117.55,01/01/2006 00:00,12/31/2006 23:00
36.65,-121.65,01/01/2006 00:00,12/31/2006 23:00
39.75,-120.85,01/01/2006 00:00,12/31/2006 23:00
38.15,-122.25,01/01/2006 00:00,12/31/2006 23:00
33.85,-117.85,01/01/2006 00:00,12/31/2006 23:00
37.55,-121.75,01/01/2006 00:00,12/31/2006 23:00
38.75,-121.15,01/01/2006 00:00,12/31/2006 23:00
36.05,-120.55,01/01/2006 00:00,12/31/2006 23:00
38.65,-121.25,01/01/2006 00:00,12/31/2006 23:00
34.65,-117.75,01/01/2006 00:00,12/31/2006 23:00
33.25,-114.85,01/01/2006 00:00,12/31/2006 23:00
33.95,-118.45,01/01/2006 00:00,12/31/2006 23:00
34.15,-118.85,01/01/2006 00:00,12/31/2006 23:00
38.55,-121.35,01/01/2006 00:00,12/31/2006 23:00
