city,lat,lon,population
Los Angeles,34.114,-118.407,12750807
San Francisco,37.756,-122.443,3592294
San Diego,32.831,-117.122,3220118
Riverside,33.938,-117.395,2107852
Sacramento,38.567,-121.468,1898019
San Jose,37.302,-121.849,1798103
Fresno,36.783,-119.794,703498
Concord,37.972,-122.002,652308
Mission Viejo,33.61,-117.655,590249
Bakersfield,35.353,-119.036,579295
Murrieta,33.572,-117.191,496046
Long Beach,33.798,-118.168,462628
Oakland,37.79,-122.216,433031
Indio,33.735,-116.235,417059
Stockton,37.976,-121.311,397264
Oxnard,34.196,-119.182,387647
Modesto,37.637,-121.003,383134
Anaheim,33.839,-117.857,350365
Victorville,34.528,-117.354,346789
Lancaster,34.694,-118.175,343304
Santa Ana,33.737,-117.882,332318
Santa Rosa,38.446,-122.707,324634
Santa Clarita,34.418,-118.496,312446
Antioch,37.979,-121.796,302419
Irvine,33.677,-117.774,287401
Chula Vista,32.628,-117.014,274492
Fremont,37.526,-121.985,241110
Visalia,36.328,-119.327,237386
San Bernardino,34.142,-117.295,215784
Thousand Oaks,34.191,-118.876,215029
Fontana,34.097,-117.46,214547
Moreno Valley,33.924,-117.204,213055
Santa Barbara,34.428,-119.72,202401
Glendale,34.182,-118.247,199303
Huntington Beach,33.696,-118.002,199223
Salinas,36.688,-121.632,190972
Ontario,34.039,-117.606,185010
Rancho Cucamonga,34.125,-117.567,177603
Hemet,33.734,-116.997,177253
Santa Cruz,36.979,-122.035,176428
Oceanside,33.225,-117.308,175742
Elk Grove,38.416,-121.384,174775
Vallejo,38.113,-122.236,173256
Garden Grove,33.779,-117.96,171644
Corona,33.862,-117.565,169868
Hayward,37.633,-122.077,159203
Palmdale,34.594,-118.106,155079
Sunnyvale,37.384,-122.026,152703
Pomona,34.058,-117.763,151691
Escondido,33.135,-117.072,151625
Fairfield,38.259,-122.032,148683
Torrance,33.835,-118.342,143592
Santa Maria,34.933,-120.443,140545
Fullerton,33.884,-117.928,138632
Santa Clara,37.364,-121.968,130365
Redding,40.57,-122.365,121313
Yuba City,39.136,-121.638,120456
Gilroy,37.005,-121.586,118993
Chico,39.758,-121.815,117668
Carlsbad,33.125,-117.284,115382
Clovis,36.828,-119.683,114584
Downey,33.938,-118.131,111126
Inglewood,33.957,-118.344,108151
Turlock,37.505,-120.859,107317
Daly City,37.686,-122.468,106280
West Covina,34.056,-117.911,105101
El Cajon,32.802,-116.96,102708
Vacaville,38.359,-121.968,101444
San Marcos,33.135,-117.174,96664
Compton,33.893,-118.228,95605
San Leandro,37.707,-122.16,88815
Milpitas,37.434,-121.892,84196
Pleasanton,37.666,-121.88,81777
Folsom,38.667,-121.142,81328
Tustin,33.731,-117.811,79348
Perris,33.79,-117.223,79291
Watsonville,36.921,-121.771,77352
Porterville,36.064,-119.034,77318
Camarillo,34.223,-119.032,76931
Lodi,38.122,-121.293,74773
Union City,37.603,-122.019,74107
Redlands,34.051,-117.171,71513
Lake Elsinore,33.685,-117.334,69283
Rocklin,38.808,-121.249,68823
Florence-Graham,33.968,-118.245,65716
San Clemente,33.45,-117.61,64558
San Luis Obispo,35.267,-120.669,62290
National City,32.665,-117.098,61394
Woodland,38.671,-121.75,60598
Hacienda Heights,33.997,-117.973,55188
Cathedral City,33.836,-116.464,55007
Rosemead,34.069,-118.082,54058
Yucaipa,34.034,-117.043,53921
West Sacramento,38.556,-121.55,53519
Palm Desert,33.738,-116.37,53275
Placentia,33.881,-117.855,51233
Beaumont,33.908,-116.977,51063
Poway,32.987,-117.02,49323
Reedley,36.599,-119.447,49042
Hollister,36.856,-121.398,48992
El Dorado Hills,38.675,-121.049,46593
Desert Hot Springs,33.955,-116.543,43914
Brea,33.925,-117.866,43255
Los Banos,37.063,-120.841,41036
Montclair,34.071,-117.698,40083
La Presa,32.711,-117.003,38227
Wildomar,33.617,-117.258,37229
Moorpark,34.286,-118.877,36375
Foothill Farms,38.687,-121.348,35881
Bell,33.98,-118.18,35521
Manhattan Beach,33.89,-118.397,35183
Pleasant Hill,37.954,-122.076,34839
Oildale,35.425,-119.028,34763
Menlo Park,37.469,-122.167,34698
Arcata,40.862,-124.076,34616
Grass Valley,39.224,-121.052,34196
Adelanto,34.582,-117.44,34049
Sonoma,38.29,-122.46,33831
Placerville,38.731,-120.798,31943
Fallbrook,33.369,-117.226,31701
Banning,33.946,-116.899,31221
San Pablo,37.963,-122.342,30990
Burlingame,37.586,-122.367,30889
Barstow,34.866,-117.047,30605
Santa Paula,34.352,-119.07,30233
South Lake Tahoe,38.939,-119.983,30188
Saratoga,37.268,-122.026,30153
Los Altos,37.368,-122.097,30089
Wasco,35.594,-119.367,28710
Vineyard,38.474,-121.319,28386
Ladera Ranch,33.549,-117.642,27277
Windsor,38.542,-122.809,27128
Belmont,37.515,-122.296,26941
Lemoore,36.295,-119.798,26725
West Whittier-Los Nietos,33.976,-118.069,26654
Lafayette,37.892,-122.119,26638
Brawley,32.978,-115.529,26309
Twentynine Palms,34.148,-116.066,26073
Bay Point,38.033,-121.961,25808
South Pasadena,34.11,-118.157,25329
Yucca Valley,34.123,-116.422,25042
San Fernando,34.289,-118.436,24322
Patterson,37.476,-121.154,22930
Laguna Beach,33.545,-117.761,22827
Corcoran,36.084,-119.561,22581
Ramona,33.047,-116.877,21323
Dixon,38.447,-121.825,20803
South San Jose Hills,34.012,-117.904,19977
Blythe,33.622,-114.619,19682
Red Bluff,40.174,-122.241,19039
Chowchilla,37.11,-120.235,18310
Mountain House,37.774,-121.545,17966
Greenfield,36.323,-121.245,17646
Nipomo,35.032,-120.499,17601
Lakeport,39.039,-122.922,17466
Coalinga,36.143,-120.326,17179
Crescent City,41.773,-124.19,16849
Rosedale,35.389,-119.206,16820
Truckee,39.346,-120.185,16735
Lindsay,36.208,-119.09,16713
Bostonia,32.819,-116.948,16603
Los Osos,35.307,-120.825,16533
Ripon,37.742,-121.131,16386
East San Gabriel,34.12,-118.081,16256
Discovery Bay,37.907,-121.608,16159
Fillmore,34.399,-118.918,15954
King City,36.217,-121.133,15887
McFarland,35.678,-119.241,15651
Pacific Grove,36.619,-121.926,15413
Coto de Caza,33.596,-117.586,15056
Tehachapi,35.127,-118.475,14928
Taft,35.127,-119.424,14898
Livingston,37.388,-120.725,14896
Alpine,32.844,-116.758,14878
North Auburn,38.931,-121.082,14269
California City,35.158,-117.872,14198
Oak Park,34.185,-118.767,13853
Avenal,36.031,-120.116,13496
Big Bear City,34.254,-116.79,13463
Grover Beach,35.12,-120.62,13459
Fortuna,40.586,-124.142,13449
Carpinteria,34.396,-119.512,13385
Palos Verdes Estates,33.787,-118.398,13273
Grand Terrace,34.031,-117.313,12584
Emeryville,37.838,-122.293,12086
Healdsburg,38.623,-122.865,11845
Malibu,34.037,-118.784,11820
Newman,37.316,-121.021,11784
Lake Los Angeles,34.61,-117.834,11751
Mendota,36.756,-120.378,11716
Tamalpais-Homestead Valley,37.879,-122.538,11689
Los Alamitos,33.797,-118.059,11399
Anderson,40.45,-122.295,10630
Morro Bay,35.368,-120.848,10543
Oak Hills,34.391,-117.412,10444
Garden Acres,37.964,-121.23,9972
Orland,39.746,-122.186,9964
Fort Irwin,35.248,-116.683,9872
Madera Acres,37.012,-120.08,9857
Marina del Rey,33.976,-118.449,9852
Rio Vista,38.176,-121.702,9718
Rio del Mar,36.961,-121.881,9657
Blackhawk,37.816,-121.907,9604
Bishop,37.366,-118.396,9597
Gridley,39.362,-121.697,9237
Cloverdale,38.796,-123.015,9205
Lake Arrowhead,34.253,-117.194,8940
Needles,34.816,-114.619,8752
Crestline,34.249,-117.289,8709
Corning,39.928,-122.182,8604
Gonzales,36.506,-121.443,8306
Orosi,36.543,-119.29,8300
Firebaugh,36.853,-120.454,8296
Mammoth Lakes,37.627,-118.99,8235
Topanga,34.096,-118.605,7900
Templeton,35.556,-120.718,7838
Winters,38.532,-121.978,7820
Piñon Hills,34.444,-117.621,7661
Escalon,37.791,-120.998,7601
Plumas Lake,38.992,-121.558,7573
Yreka,41.729,-122.631,7518
Dos Palos,36.985,-120.634,7494
Mount Shasta,41.321,-122.315,7472
Cotati,38.328,-122.709,7410
Camp Pendleton North,33.315,-117.316,7367
Willows,39.515,-122.2,7234
Acton,34.496,-118.186,7232
Pollock Pines,38.756,-120.59,7156
Homeland,33.746,-117.113,7086
St. Helena,38.506,-122.468,7059
Rancho Calaveras,38.125,-120.857,7026
Franklin,37.328,-120.532,6929
Colusa,39.206,-122.012,6891
Loomis,38.809,-121.196,6866
Lake Mathews,33.825,-117.368,6792
Salton City,33.299,-115.961,6250
Eucalyptus Hills,32.885,-116.945,6129
Durham,39.623,-121.788,5987
Lucerne Valley,34.443,-116.902,5956
Mayflower Village,34.116,-118.01,5873
Silver Lakes,34.752,-117.343,5849
Cambria,35.552,-121.085,5647
Yosemite Lakes,37.188,-119.772,5524
Williams,39.15,-122.139,5469
Boulder Creek,37.134,-122.127,5182
Tara Hills,37.994,-122.319,5117
Guerneville,38.514,-122.989,5014
Camino Tassajara,37.791,-121.885,4721
Santa Venetia,38.006,-122.503,4474
Planada,37.289,-120.321,4418
Copperopolis,37.936,-120.628,4361
Del Mar,32.963,-117.263,4319
Ivanhoe,36.389,-119.22,4215
Carmel Valley Village,36.482,-121.72,4152
Lenwood,34.886,-117.108,4122
Rio Dell,40.502,-124.11,4056
San Joaquin,36.606,-120.19,4021
Wrightwood,34.35,-117.63,3984
Burney,40.885,-121.669,3965
Angels,38.071,-120.55,3956
Clearlake Riviera,38.951,-122.721,3930
Mojave,35.014,-118.19,3855
Arbuckle,39.014,-122.061,3809
Brooktrails,39.443,-123.396,3800
Forestville,38.482,-122.89,3761
Agua Dulce,34.504,-118.316,3742
Avalon,33.334,-118.332,3681
Auburn Lake Trails,38.892,-120.985,3664
Squaw Valley,36.694,-119.2,3646
Moss Beach,37.518,-122.504,3604
Heber,32.732,-115.52,3604
Stallion Springs,35.094,-118.648,3581
Meiners Oaks,34.45,-119.273,3569
Kelseyville,38.97,-122.833,3560
Lockeford,38.151,-121.155,3521
Valley Springs,38.184,-120.815,3502
Oakhurst,37.334,-119.648,3446
Riverdale,36.43,-119.867,3433
San Miguel,37.887,-122.037,3433
Campo,32.639,-116.474,3408
Vandenberg AFB,34.748,-120.518,3387
Pine Hills,40.731,-124.155,3375
Pixley,35.977,-119.289,3347
Esparto,38.693,-122.024,3272
Cambrian Park,37.256,-121.929,3258
Cottonwood,40.39,-122.286,3243
Colfax,39.094,-120.953,3205
Hoopa,41.08,-123.697,3201
Angwin,38.578,-122.451,3179
Morada,38.039,-121.246,3166
Bonny Doon,37.044,-122.137,3096
Morongo Valley,34.072,-116.563,3090
Lake Nacimiento,35.731,-120.87,2981
South Oroville,39.477,-121.544,2906
Channel Islands Beach,34.159,-119.223,2904
Lucerne,39.07,-122.776,2896
Oasis,33.528,-116.126,2857
East Oakdale,37.785,-120.801,2839
North Shore,33.516,-115.909,2756
Weed,41.413,-122.382,2725
Hayfork,40.561,-123.13,2711
Alturas,41.49,-120.552,2638
Sutter Creek,38.383,-120.811,2622
